///test: Translate a simple example into SKINI data.
///command: kern2skini %in > %out
// Keysig 0 accidentals
// Tempo 60 MM per quarter note
NoteOn   	0            1	  60	  64
NoteOff  	1            1	  60	  64
NoteOn   	0            1	  62	  64
NoteOff  	1            1	  62	  64

// Measure number 2	=2
NoteOn   	0            1	  64	  64
NoteOff  	1            1	  64	  64
NoteOn   	0            1	  65	  64
NoteOff  	1            1	  65	  64

// Measure number 3	=4
NoteOn   	0            1	  67	  64
NoteOff  	0.5          1	  67	  64
NoteOn   	0            1	  69	  64
NoteOff  	0.5          1	  69	  64
NoteOn   	0            1	  71	  64
NoteOff  	1            1	  71	  64

// Measure number 4	=6
NoteOn   	0            1	  60	  64
NoteOff  	2            1	  60	  64

// Measure 	=8
